Bus,Type,Pd,Qd,Gs,Bs,Area,Vm,Va,BaseKV,Zone,Vmax,Vmin
1,1,0.168536328552887,0.0553952123405366,0,0,1,1,0,66,1,1.05,0.95
2,1,0.16634188262506,0.0546739328443853,0,0,1,1,0,66,1,1.05,0.95
3,1,0.163960238732307,0.0538911243526411,0,0,1,1,0,66,1,1.05,0.95
4,1,0.161476286089823,0.0530746886010396,0,0,1,1,0,66,1,1.05,0.95
5,1,0.159014091660391,0.0522654044282253,0,0,1,1,0,66,1,1.05,0.95
6,1,0.156695657443114,0.0515033719521036,0,0,1,1,0,66,1,1.05,0.95
7,1,0.154606727131844,0.0508167737619628,0,0,1,1,0,66,1,1.05,0.95
8,1,0.152693920716799,0.0501880646970534,0,0,1,1,0,66,1,1.05,0.95
9,1,0.150867200801756,0.049587650896365,0,0,1,1,0,66,1,1.05,0.95
10,1,0.149027242559047,0.0489828858677938,0,0,1,1,0,66,1,1.05,0.95
11,1,0.147119410971286,0.0483558119495386,0,0,1,1,0,66,1,1.05,0.95
12,1,0.145277781142756,0.0477504974972775,0,0,1,1,0,66,1,1.05,0.95
13,1,0.143665990948842,0.0472207276796548,0,0,1,1,0,66,1,1.05,0.95
14,1,0.142374322863515,0.046796176910841,0,0,1,1,0,66,1,1.05,0.95
15,1,0.141461157086319,0.0464960338344834,0,0,1,1,0,66,1,1.05,0.95
16,1,0.140919759195723,0.0463180849532671,0,0,1,1,0,66,1,1.05,0.95
17,1,0.140713067185357,0.0462501485747923,0,0,1,1,0,66,1,1.05,0.95
18,1,0.140759025235781,0.0462652542554717,0,0,1,1,0,66,1,1.05,0.95
19,1,0.141019103814376,0.0463507379503534,0,0,1,1,0,66,1,1.05,0.95
20,1,0.141665154879357,0.0465630846665465,0,0,1,1,0,66,1,1.05,0.95
21,1,0.142874783045148,0.0469606702178187,0,0,1,1,0,66,1,1.05,0.95
22,1,0.144646435842818,0.0475429843323085,0,0,1,1,0,66,1,1.05,0.95
23,1,0.146851003789698,0.0482675907752347,0,0,1,1,0,66,1,1.05,0.95
24,1,0.149108994692015,0.0490097564944648,0,0,1,1,0,66,1,1.05,0.95
25,2,0,0,0,0,1,1,0,66,1,1.05,0.95
26,1,0.152155974134166,0.0500112502059066,0,0,1,1,0,66,1,1.05,0.95
27,1,0.152274037081903,0.0500500556202383,0,0,1,1,0,66,1,1.05,0.95
28,1,0.151547124247245,0.0498111309256358,0,0,1,1,0,66,1,1.05,0.95
29,1,0.150436989909861,0.0494462474143243,0,0,1,1,0,66,1,1.05,0.95
30,1,0.149943416619597,0.0492840177190736,0,0,1,1,0,66,1,1.05,0.95
31,1,0.150994543018647,0.0496295062589755,0,0,1,1,0,66,1,1.05,0.95
32,1,0.15169892481509,0.0498610253594437,0,0,1,1,0,66,1,1.05,0.95
33,1,0.149363569713556,0.0490934312576208,0,0,1,1,0,66,1,1.05,0.95
34,1,0.144916175814076,0.0476316435733924,0,0,1,1,0,66,1,1.05,0.95
35,1,0.138891704626374,0.0456514956518869,0,0,1,1,0,66,1,1.05,0.95
36,1,0.131167418805816,0.0431126456788107,0,0,1,1,0,66,1,1.05,0.95
37,1,0.120903490307767,0.0397390555248097,0,0,1,1,0,66,1,1.05,0.95
38,1,0.11187991295151,0.0367731490759561,0,0,1,1,0,66,1,1.05,0.95
39,1,0.102423775192914,0.0336650668983239,0,0,1,1,0,66,1,1.05,0.95
40,1,0.0979529875188887,0.0321955900522423,0,0,1,1,0,66,1,1.05,0.95
41,1,0.090635991162909,0.0297906096523801,0,0,1,1,0,66,1,1.05,0.95
42,1,0.0739012870691566,0.024290178411892,0,0,1,1,0,66,1,1.05,0.95
43,1,0.0603402892927981,0.0198328939924371,0,0,1,1,0,66,1,1.05,0.95
44,1,0.0554304120836489,0.0182190953954098,0,0,1,1,0,66,1,1.05,0.95
45,1,0.0609482099429247,0.0200327078473437,0,0,1,1,0,66,1,1.05,0.95
46,1,0.0662028418363313,0.0217598218292724,0,0,1,1,0,66,1,1.05,0.95
47,1,0.0690875218740711,0.0227079703062042,0,0,1,1,0,66,1,1.05,0.95
48,3,0,0,0,0,1,1,0,66,1,1.05,0.95
49,2,0,0,0,0,1,1,0,66,1,1.05,0.95
50,1,0.0357104553111089,0.0117374590494616,0,0,1,1,0,66,1,1.05,0.95
51,1,0.018425644231176,0.00605621638646815,0,0,1,1,0,66,1,1.05,0.95
52,1,0.0198183984240381,0.00651399255208317,0,0,1,1,0,66,1,1.05,0.95
53,1,0.0364042598647945,0.0119655015783588,0,0,1,1,0,66,1,1.05,0.95
54,1,0.0513923281791131,0.0168918414006103,0,0,1,1,0,66,1,1.05,0.95
55,1,0.0631198629697565,0.0207464956792269,0,0,1,1,0,66,1,1.05,0.95
56,1,0.0649502940312163,0.0213481292747544,0,0,1,1,0,66,1,1.05,0.95
57,1,0.0589936583854235,0.0193902778176405,0,0,1,1,0,66,1,1.05,0.95
58,1,0.0606793639046673,0.0199443424278282,0,0,1,1,0,66,1,1.05,0.95
59,1,0.0644884544084265,0.0211963299316016,0,0,1,1,0,66,1,1.05,0.95
60,1,0.0822294619181321,0.0270275171099007,0,0,1,1,0,66,1,1.05,0.95
61,1,0.101519598273647,0.0333678783166912,0,0,1,1,0,66,1,1.05,0.95
62,1,0.114626498437864,0.0376759080688356,0,0,1,1,0,66,1,1.05,0.95
63,1,0.123138337977871,0.040473614431469,0,0,1,1,0,66,1,1.05,0.95
64,1,0.124759822129068,0.041006570498767,0,0,1,1,0,66,1,1.05,0.95
65,1,0.127019966127813,0.0417494439065699,0,0,1,1,0,66,1,1.05,0.95
66,1,0.132147113434804,0.0434346557312884,0,0,1,1,0,66,1,1.05,0.95
67,1,0.137272650519355,0.0451193383014852,0,0,1,1,0,66,1,1.05,0.95
68,1,0.142612079644181,0.0468743237855445,0,0,1,1,0,66,1,1.05,0.95
69,1,0.144237389493734,0.0474085372990831,0,0,1,1,0,66,1,1.05,0.95
70,1,0.143648477920931,0.047214971425747,0,0,1,1,0,66,1,1.05,0.95
71,1,0.144200130505472,0.0473962908618663,0,0,1,1,0,66,1,1.05,0.95
72,1,0.149965951647131,0.0492914246244338,0,0,1,1,0,66,1,1.05,0.95
73,1,0.156736705297423,0.0515168637293667,0,0,1,1,0,66,1,1.05,0.95
74,1,0.162631163706911,0.0534542785172034,0,0,1,1,0,66,1,1.05,0.95
75,1,0.168858693098942,0.0555011684428981,0,0,1,1,0,66,1,1.05,0.95
76,1,0.17433131196739,0.0572999312786588,0,0,1,1,0,66,1,1.05,0.95
77,1,0.178495812403342,0.0586687363779668,0,0,1,1,0,66,1,1.05,0.95
78,1,0.181199796777515,0.0595574930624094,0,0,1,1,0,66,1,1.05,0.95
79,1,0.182511408993536,0.0599885991499739,0,0,1,1,0,66,1,1.05,0.95
80,1,0.183030102165058,0.060159085350918,0,0,1,1,0,66,1,1.05,0.95
81,1,0.18324799131983,0.0602307020527824,0,0,1,1,0,66,1,1.05,0.95
82,1,0.183380359152025,0.0602742092552619,0,0,1,1,0,66,1,1.05,0.95
83,1,0.183557164698561,0.0603323224281157,0,0,1,1,0,66,1,1.05,0.95
84,1,0.183743260542246,0.0603934891739748,0,0,1,1,0,66,1,1.05,0.95
85,1,0.183832882025928,0.0604229463311437,0,0,1,1,0,66,1,1.05,0.95
86,1,0.183593314260077,0.0603442042143952,0,0,1,1,0,66,1,1.05,0.95
87,1,0.182852218946201,0.0601006179643016,0,0,1,1,0,66,1,1.05,0.95
88,1,0.181799972442148,0.0597547612636894,0,0,1,1,0,66,1,1.05,0.95
89,1,0.180663278985651,0.059381148192078,0,0,1,1,0,66,1,1.05,0.95
90,1,0.179450924657169,0.0589826665944612,0,0,1,1,0,66,1,1.05,0.95
91,1,0.178129480753658,0.0585483289874916,0,0,1,1,0,66,1,1.05,0.95
92,1,0.176725893927224,0.0580869923074043,0,0,1,1,0,66,1,1.05,0.95
93,1,0.175280186132688,0.0576118111346071,0,0,1,1,0,66,1,1.05,0.95
94,1,0.173818156964536,0.0571312653857277,0,0,1,1,0,66,1,1.05,0.95
95,1,0.172326775702834,0.0566410720702447,0,0,1,1,0,66,1,1.05,0.95
96,1,0.170653315177394,0.0560910321948883,0,0,1,1,0,66,1,1.05,0.95
